Item ID art top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 8.72781469215073
User ID 690e7e01008b472d839fb2ceb1823860	score 8.041814084126141
User ID aa53710fec054a8fb2e6eab6c605c571	score 7.783688941734886
User ID b0650c915d0246c0b55c5c6cbfdbb8b8	score 7.749781313935314
User ID d8676c764b0f4f4fab4f2df45b950daf	score 7.608253371165772
User ID b3bc740ed50849f1bb58afc0860106d4	score 7.328514622147064
User ID e6b4e36dacc94795a5be9c3c3d4ce4e3	score 7.293652665641189
User ID 362344cfbd954ae99a2d07a8767ad4a7	score 7.251641960006066
User ID dd3fe8a029dd49e9b59ae3f5f57198bc	score 7.134392966678886
User ID 1c98c8de1766419581beedf0a9ff6d82	score 7.130855315545238

Item ID career top-10 results
User ID 8f44237ddad84f2184cfe4182fbf1105	score 8.876750247620125
User ID 71d0d37706f5407fbc235409639910fe	score 8.811412928092446
User ID b3bc740ed50849f1bb58afc0860106d4	score 8.457676372013562
User ID d2172296954d41369ac4e563f379cdc6	score 8.303095521170714
User ID dd3fe8a029dd49e9b59ae3f5f57198bc	score 7.891721981694227
User ID 362344cfbd954ae99a2d07a8767ad4a7	score 7.708013744202822
User ID 87b78a895bfa4b099b816c42babbffaa	score 7.701221344474382
User ID 4400843986c34259a55b2c239492bccf	score 7.189174211559668
User ID 35b40b1bcefd4d9e86e11a97603a84e5	score 6.997741083667668
User ID 690e7e01008b472d839fb2ceb1823860	score 6.911253033158372

Item ID college top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 9.194506037535355
User ID 87b78a895bfa4b099b816c42babbffaa	score 8.989537379218962
User ID 362344cfbd954ae99a2d07a8767ad4a7	score 8.311877763081375
User ID 35b40b1bcefd4d9e86e11a97603a84e5	score 8.288227122036766
User ID a5a46cdc1fe04d3c9a6677e7f09b319d	score 7.298890866076371
User ID cfbe7406a1ad4409a04c5bae691282e1	score 7.159404517130794
User ID 429bd50a797444e7b4129d29e3f94a6d	score 7.154753288465831
User ID 4dd5601d3d36403a8bf9d125207fbc6b	score 7.128810939011356
User ID b1e7bc0aaf204a498954922e51bbd95e	score 7.1091489091098605
User ID 4d15e9292c7a4cb485cd4b16908e8406	score 7.077512106818105

Item ID medicine top-10 results
User ID b1e7bc0aaf204a498954922e51bbd95e	score 8.511421650689385
User ID d2172296954d41369ac4e563f379cdc6	score 7.811782064642373
User ID 690e7e01008b472d839fb2ceb1823860	score 7.770450964919128
User ID c02bb26642334f1bafba216c8eda5466	score 7.652534836700807
User ID b0650c915d0246c0b55c5c6cbfdbb8b8	score 7.607019342890126
User ID d8676c764b0f4f4fab4f2df45b950daf	score 7.5980530074551815
User ID 4400843986c34259a55b2c239492bccf	score 7.422222663091237
User ID eb2b5b36876b4658b302e345eb25c356	score 7.23783185188289
User ID 362344cfbd954ae99a2d07a8767ad4a7	score 7.112079753196299
User ID b3bc740ed50849f1bb58afc0860106d4	score 7.10223298273259

Item ID teaching top-10 results
User ID 71d0d37706f5407fbc235409639910fe	score 8.526133907648921
User ID d2172296954d41369ac4e563f379cdc6	score 8.164631816771466
User ID aa53710fec054a8fb2e6eab6c605c571	score 7.852662592506897
User ID eb2b5b36876b4658b302e345eb25c356	score 7.531767107571913
User ID b3bc740ed50849f1bb58afc0860106d4	score 7.488482261707036
User ID 2c192c95a76a4a54b09e438755990099	score 7.24571136548394
User ID de99f2c4d1314fc88bd2f972c6b8edfa	score 6.940303722205156
User ID 0eefd053f1a34cf3a6bb8e7180c19ae3	score 6.936748326169768
User ID 0d459058e7924332a623f39cfe37dad8	score 6.927942647091893
User ID 690e7e01008b472d839fb2ceb1823860	score 6.864717799445392

